======================================================

       SIMULAÇÃO E COMPARAÇÃO DE MODELOS              

======================================================

SKU: 3_080

Excel Path: /app/Dados/m5_foods_3_080.xlsx

2026-07-28 09:06:49.379 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.440 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.501 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.562 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.666 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.727 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.788 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.849 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

2026-07-28 09:06:49.910 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 53.0

Limite Máximo de Encomenda Diária (Constrained): 53.0 un

[LOAD] A carregar Modelo A (PPO) de: /app/3_080/PPO_Limitado_3_080/ppo_constrained_final

[OK] Modelo A carregado.

[OK] Estatísticas Z-Score do Modelo A carregadas.

[LOAD] A carregar Modelo B (Agregador) de: /app/3_080/PPO_Agregador_Transition_3_080/ppo_transition_iter313

[OK] Modelo B carregado.

[OK] Estatísticas Z-Score do Modelo B carregadas.

[LOAD] A carregar Modelo Gamma 0.95 de: /app/3_080/PPO_Sem_Limites_Gamma095_3_080/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.95 carregado.

[LOAD] A carregar Modelo Gamma 0.8 de: /app/3_080/PPO_Sem_Limites_3_080/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.8 carregado.

[LOAD] A carregar Modelo Limitado Gamma 0.95 de: /app/3_080/PPO_Limitado_Gamma095_3_080/ppo_constrained_final

[OK] Modelo Limitado Gamma 0.95 carregado.

[OK] Min-Max Baseline Config: s=24, S=60

A iniciar a simulação diária comparativa...

[Dia 000] Ação Encomenda -> PPO: 000 | Agregador (Elite): 043 || Lucro Diário -> PPO: 25.2€ | Agregador: -79.1€

[Dia 001] Ação Encomenda -> PPO: 053 | Agregador (Elite): 000 || Lucro Diário -> PPO: -68.1€ | Agregador: 35.5€

[Dia 002] Ação Encomenda -> PPO: 053 | Agregador (Elite): 011 || Lucro Diário -> PPO: -93.5€ | Agregador: -88.9€

[Dia 003] Ação Encomenda -> PPO: 053 | Agregador (Elite): 000 || Lucro Diário -> PPO: -66.1€ | Agregador: 41.3€

[Dia 004] Ação Encomenda -> PPO: 000 | Agregador (Elite): 008 || Lucro Diário -> PPO: 33.4€ | Agregador: -63.2€

[Dia 005] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 26.3€ | Agregador: 30.2€

[Dia 006] Ação Encomenda -> PPO: 000 | Agregador (Elite): 078 || Lucro Diário -> PPO: 27.1€ | Agregador: -76.8€

[Dia 007] Ação Encomenda -> PPO: 053 | Agregador (Elite): 001 || Lucro Diário -> PPO: -93.6€ | Agregador: -87.7€

[Dia 008] Ação Encomenda -> PPO: 053 | Agregador (Elite): 085 || Lucro Diário -> PPO: -85.6€ | Agregador: -86.0€

[Dia 009] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 21.4€ | Agregador: 23.0€

[Dia 010] Ação Encomenda -> PPO: 000 | Agregador (Elite): 015 || Lucro Diário -> PPO: 18.9€ | Agregador: -81.0€

[Dia 011] Ação Encomenda -> PPO: 000 | Agregador (Elite): 115 || Lucro Diário -> PPO: -15.3€ | Agregador: -179.6€

[Dia 012] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 65.4€ | Agregador: 60.6€

[Dia 013] Ação Encomenda -> PPO: 022 | Agregador (Elite): 000 || Lucro Diário -> PPO: -61.0€ | Agregador: 36.4€

[Dia 014] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 13.9€ | Agregador: 9.9€

[Dia 015] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 12.7€ | Agregador: 8.7€

[Dia 016] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 7.0€ | Agregador: 12.3€

[Dia 017] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 16.9€ | Agregador: 12.7€

[Dia 018] Ação Encomenda -> PPO: 053 | Agregador (Elite): 010 || Lucro Diário -> PPO: -99.4€ | Agregador: -73.2€

