======================================================

       SIMULAÇÃO E COMPARAÇÃO DE MODELOS              

======================================================

SKU: 3_586

Excel Path: /app/Dados/m5_foods_3_586.xlsx

2026-07-30 22:43:42.474 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.523 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.571 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.619 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.710 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.758 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.806 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.854 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

2026-07-30 22:43:42.902 | INFO     | environment_constrained:__init__:127 - Environment Constrained initialized in TESTING Mode: 777 days. Max Order Limit: 133.0

Limite Máximo de Encomenda Diária (Constrained): 133.0 un

[LOAD] A carregar Modelo A (PPO) de: /app/3_586/PPO_Limitado_3_586/ppo_constrained_final

[OK] Modelo A carregado.

[OK] Estatísticas Z-Score do Modelo A carregadas.

[LOAD] A carregar Modelo B (Agregador) de: /app/3_586/PPO_Agregador_Transition_3_586/ppo_transition_iter313

[OK] Modelo B carregado.

[OK] Estatísticas Z-Score do Modelo B carregadas.

[LOAD] A carregar Modelo Gamma 0.95 de: /app/3_586/PPO_Sem_Limites_Gamma095_3_586/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.95 carregado.

[LOAD] A carregar Modelo Gamma 0.8 de: /app/3_586/PPO_Sem_Limites_3_586/ppo_completely_unconstrained_final

[OK] Modelo Gamma 0.8 carregado.

[LOAD] A carregar Modelo Limitado Gamma 0.95 de: /app/3_586/PPO_Limitado_Gamma095_3_586/ppo_constrained_final

[OK] Modelo Limitado Gamma 0.95 carregado.

[OK] Min-Max Baseline Config: s=100, S=250

A iniciar a simulação diária comparativa...

[Dia 000] Ação Encomenda -> PPO: 000 | Agregador (Elite): 087 || Lucro Diário -> PPO: 70.5€ | Agregador: -38.2€

[Dia 001] Ação Encomenda -> PPO: 000 | Agregador (Elite): 023 || Lucro Diário -> PPO: 43.2€ | Agregador: -62.6€

[Dia 002] Ação Encomenda -> PPO: 062 | Agregador (Elite): 040 || Lucro Diário -> PPO: -79.3€ | Agregador: -41.4€

[Dia 003] Ação Encomenda -> PPO: 000 | Agregador (Elite): 097 || Lucro Diário -> PPO: 38.0€ | Agregador: -74.6€

[Dia 004] Ação Encomenda -> PPO: 000 | Agregador (Elite): 011 || Lucro Diário -> PPO: 53.6€ | Agregador: -54.3€

[Dia 005] Ação Encomenda -> PPO: 108 | Agregador (Elite): 000 || Lucro Diário -> PPO: -234.5€ | Agregador: 81.8€

[Dia 006] Ação Encomenda -> PPO: 005 | Agregador (Elite): 000 || Lucro Diário -> PPO: -15.7€ | Agregador: 84.0€

[Dia 007] Ação Encomenda -> PPO: 014 | Agregador (Elite): 000 || Lucro Diário -> PPO: -40.5€ | Agregador: 60.3€

[Dia 008] Ação Encomenda -> PPO: 000 | Agregador (Elite): 000 || Lucro Diário -> PPO: 40.8€ | Agregador: 40.8€

[Dia 009] Ação Encomenda -> PPO: 090 | Agregador (Elite): 011 || Lucro Diário -> PPO: -114.9€ | Agregador: -105.0€

[Dia 010] Ação Encomenda -> PPO: 000 | Agregador (Elite): 017 || Lucro Diário -> PPO: 67.7€ | Agregador: -105.3€

[Dia 011] Ação Encomenda -> PPO: 008 | Agregador (Elite): 000 || Lucro Diário -> PPO: -40.4€ | Agregador: 3.2€

[Dia 012] Ação Encomenda -> PPO: 038 | Agregador (Elite): 000 || Lucro Diário -> PPO: -118.4€ | Agregador: -30.4€

[Dia 013] Ação Encomenda -> PPO: 010 | Agregador (Elite): 000 || Lucro Diário -> PPO: -57.2€ | Agregador: -31.2€

[Dia 014] Ação Encomenda -> PPO: 030 | Agregador (Elite): 203 || Lucro Diário -> PPO: -114.1€ | Agregador: -351.1€

[Dia 015] Ação Encomenda -> PPO: 133 | Agregador (Elite): 000 || Lucro Diário -> PPO: -175.6€ | Agregador: 30.8€

[Dia 016] Ação Encomenda -> PPO: 000 | Agregador (Elite): 097 || Lucro Diário -> PPO: 44.7€ | Agregador: -66.6€

[Dia 017] Ação Encomenda -> PPO: 000 | Agregador (Elite): 058 || Lucro Diário -> PPO: 37.8€ | Agregador: -73.5€

[Dia 018] Ação Encomenda -> PPO: 005 | Agregador (Elite): 000 || Lucro Diário -> PPO: -42.2€ | Agregador: 50.5€

